lead_time,avg_price_per_room,no_of_special_requests,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,arrival_year,no_of_adults,booking_status
190,95.0,0,6,22,3,4,1,2018,1,1
33,147.25,4,9,26,4,1,1,2018,2,1
176,116.1,0,9,8,3,3,0,2018,1,0
29,130.0,0,12,17,4,1,0,2018,1,1
117,90.4,1,12,20,4,7,2,2018,2,1
99,101.58,1,4,28,4,3,1,2018,2,1
0,84.0,0,3,2,3,1,0,2018,1,1
6,67.0,0,9,26,2,0,1,2018,1,1
30,186.22,1,11,2,4,9,4,2018,1,0
29,129.0,1,10,20,4,2,0,2018,1,0
14,174.0,0,12,2,4,1,0,2018,2,1
259,73.95,1,12,7,4,4,0,2018,2,1
56,120.0,0,6,8,3,1,0,2018,2,1
110,80.0,0,10,9,4,1,2,2018,1,0
1,101.0,0,3,28,4,0,1,2018,2,1
8,189.0,1,8,8,4,1,1,2018,2,0
18,139.0,1,7,15,4,2,0,2018,2,0
40,125.0,1,7,26,3,1,0,2018,2,1
55,104.0,0,4,6,3,1,0,2018,2,1
1,0.0,1,1,8,4,0,0,2018,2,1
8,98.0,1,6,1,2,1,0,2018,1,1
81,90.95,0,4,8,4,3,2,2018,2,0
11,130.0,1,11,5,4,1,0,2018,2,0
78,97.33,0,4,5,4,4,0,2018,2,0
126,90.53,2,12,27,3,3,0,2018,2,1
205,90.0,0,5,29,3,1,2,2018,2,0
152,130.05,2,7,13,4,5,2,2018,3,0
1,154.5,0,10,18,4,2,0,2018,1,1
120,126.9,0,6,10,4,2,1,2018,2,0
46,67.5,0,3,4,4,2,0,2018,2,0
19,156.5,0,4,14,4,3,1,2018,3,0
95,89.25,2,9,18,4,2,1,2017,2,1
13,80.0,2,8,18,4,2,0,2017,1,1
195,108.9,2,10,2,4,1,2,2018,2,0
5,0.0,4,8,24,1,2,0,2018,1,1
186,96.3,1,7,28,4,2,0,2018,2,0
58,92.75,1,10,10,4,1,2,2017,2,1
346,115.0,1,9,13,3,2,0,2018,2,0
168,96.8,0,10,4,3,4,0,2018,2,0
49,65.0,0,9,22,2,1,0,2017,1,1
24,50.0,0,12,5,2,1,2,2017,2,1
124,90.9,1,7,3,4,0,2,2018,1,1
50,60.0,0,11,17,3,3,0,2017,2,1
74,109.0,0,9,18,3,2,0,2017,2,1
150,101.0,0,1,2,3,1,2,2018,2,1
4,64.0,0,1,25,2,0,1,2018,2,1
1,90.0,0,9,9,2,2,0,2017,1,1
12,139.0,0,7,24,4,0,1,2018,2,1
166,110.0,0,11,1,3,3,0,2018,1,0
7,75.2,0,11,24,4,1,0,2018,1,1
205,76.5,2,7,25,4,1,2,2017,2,1
18,112.33,0,4,15,4,2,1,2018,1,0
1,46.0,0,1,30,3,1,0,2018,1,1
116,59.5,0,3,25,3,2,2,2018,2,0
28,109.7,3,9,5,4,2,1,2018,2,1
65,149.4,3,9,15,4,5,2,2018,2,1
50,99.9,0,4,4,4,1,1,2018,1,1
28,108.42,1,6,14,4,3,0,2018,1,1
42,75.0,0,11,7,3,3,1,2018,2,1
282,76.67,0,10,10,3,1,2,2017,2,1
27,136.0,0,9,19,3,0,1,2018,3,0
103,78.3,0,3,18,4,2,0,2018,2,1
56,120.38,1,9,3,4,2,2,2018,2,1
191,132.0,0,6,3,3,2,1,2018,2,0
13,79.0,0,7,11,2,1,1,2018,1,1
159,70.5,0,12,29,3,4,0,2017,2,1
273,109.0,0,7,17,3,2,0,2017,2,0
78,82.45,0,3,31,4,3,2,2018,2,1
41,76.5,0,8,15,3,2,1,2018,2,1
124,96.56,0,8,7,3,3,2,2018,2,1
9,79.0,0,12,21,2,2,0,2018,1,1
30,80.47,1,11,4,4,1,0,2018,2,0
64,130.0,0,5,17,2,2,0,2018,1,1
28,97.0,0,9,10,3,2,0,2017,2,1
59,60.0,0,11,19,3,3,0,2017,2,1
0,0.0,2,2,17,1,1,0,2018,2,1
54,85.0,0,4,30,3,1,2,2018,2,1
33,83.9,0,3,5,4,1,1,2018,2,1
42,80.3,0,2,20,4,1,0,2018,2,1
19,90.0,0,10,6,3,3,0,2017,2,1
193,120.0,0,6,20,3,2,1,2018,2,0
11,135.0,3,10,2,4,0,2,2018,2,1
17,97.41,3,4,10,4,0,2,2018,2,1
30,121.0,0,9,30,3,2,0,2017,2,1
73,62.5,0,10,28,3,1,0,2018,1,1
24,45.5,0,2,29,3,3,1,2018,2,1
171,93.84,1,7,25,4,3,1,2018,3,1
66,80.55,1,2,9,4,3,0,2018,2,1
15,107.75,1,9,11,4,2,2,2017,2,1
7,90.0,1,8,17,4,2,1,2017,2,1
1,65.76,1,12,5,4,3,1,2018,2,1
2,127.0,0,6,30,4,1,0,2018,1,1
36,126.9,2,5,21,4,2,2,2018,2,1
31,107.1,0,6,20,4,1,1,2018,2,0
9,120.0,1,10,19,4,3,1,2017,1,1
247,115.0,1,6,6,3,1,1,2018,2,0
106,152.1,0,8,24,4,4,0,2018,3,0
75,80.75,0,9,17,3,1,1,2018,2,1
8,124.0,2,9,4,4,2,0,2017,2,1
38,135.9,0,5,7,4,1,1,2018,2,0
58,118.8,0,4,22,4,2,0,2018,2,0
331,110.78,2,12,27,4,5,1,2018,3,0
6,163.33,2,8,13,4,1,2,2018,2,1
61,91.0,0,10,4,3,0,2,2017,2,1
39,60.97,0,1,1,4,3,2,2018,2,1
0,65.0,0,11,23,2,0,1,2017,1,1
29,87.0,0,3,2,3,4,1,2018,2,1
29,152.0,2,10,5,4,2,0,2018,2,1
303,78.0,0,8,19,3,3,2,2018,2,0
139,99.9,0,5,15,4,1,2,2018,1,0
142,122.84,1,6,28,4,5,2,2018,3,1
66,130.5,2,7,24,4,0,2,2018,1,1
188,130.0,0,6,15,3,2,0,2018,1,0
32,85.0,0,11,20,3,2,0,2017,2,1
122,85.0,0,4,15,3,2,0,2018,2,1
327,88.0,0,9,9,3,4,2,2017,2,1
102,101.5,0,10,16,3,2,0,2017,2,0
76,63.75,0,7,25,3,1,1,2018,2,0
90,112.88,0,9,7,3,3,0,2018,2,1
282,76.67,0,10,10,3,1,2,2017,2,1
53,68.0,0,11,14,3,3,1,2018,2,1
159,103.21,0,6,12,4,2,2,2018,2,0
34,60.0,0,11,1,3,1,2,2017,2,1
0,0.0,1,1,20,1,1,0,2018,2,1
48,139.5,1,10,9,4,0,2,2018,2,0
99,81.0,0,2,19,2,1,0,2018,1,1
62,115.5,1,9,5,4,2,1,2018,2,1
77,159.3,0,5,17,4,3,0,2018,3,0
40,65.0,0,2,27,3,1,0,2018,2,1
153,108.45,1,7,23,4,2,2,2018,2,0
8,90.0,2,8,26,4,4,0,2017,2,1
71,198.9,0,4,29,4,2,1,2018,2,0
1,65.6,0,11,24,4,1,0,2018,2,1
35,74.8,0,12,1,4,3,1,2018,2,0
37,105.0,0,10,13,3,3,0,2018,2,1
146,75.0,0,12,29,3,3,0,2017,2,1
79,76.5,0,9,4,3,1,2,2018,2,1
4,77.0,1,1,9,4,1,0,2018,2,1
0,158.0,0,6,2,4,1,0,2018,2,1
120,125.55,0,8,15,4,3,1,2018,2,0
14,145.67,2,9,2,4,2,1,2018,2,1
115,76.0,0,2,27,3,3,2,2018,1,1
153,80.1,2,10,27,4,1,0,2018,2,0
101,132.6,0,5,25,4,4,0,2018,2,1
142,108.3,0,8,24,4,3,0,2018,2,1
66,75.0,0,10,9,3,2,1,2017,2,0
49,78.3,0,3,4,4,2,1,2018,2,0
29,139.0,1,9,29,4,1,0,2018,2,0
45,207.9,2,8,20,4,1,0,2018,2,1
73,159.3,0,4,3,4,1,2,2018,2,0
16,129.0,1,9,27,4,2,0,2018,2,0
258,110.0,0,10,16,4,0,1,2018,2,0
23,109.0,0,1,2,3,1,2,2018,2,1
12,72.07,1,2,23,4,3,0,2018,2,1
75,115.85,2,5,22,4,2,2,2018,3,1
265,115.0,1,6,24,3,2,0,2018,2,0
126,88.68,1,4,19,4,5,1,2018,2,1
50,122.0,1,10,31,4,3,1,2018,2,1
63,94.5,0,4,21,4,3,0,2018,2,0
263,59.5,0,9,21,3,0,1,2017,1,1
102,109.0,0,10,16,3,2,0,2017,2,1
39,101.5,0,8,14,3,2,0,2017,2,1
109,129.6,0,9,1,4,3,0,2018,2,0
94,149.7,0,7,28,4,3,0,2018,3,1
7,119.0,1,4,22,4,2,0,2018,2,0
91,58.9,1,4,9,4,1,1,2018,2,1
122,94.5,0,5,17,4,3,0,2018,2,1
111,88.4,2,12,24,4,2,2,2018,1,1
100,108.0,0,10,16,4,1,0,2017,2,0
41,70.0,1,12,27,3,5,1,2018,2,1
42,85.0,1,9,24,3,1,0,2017,2,1
36,88.4,2,12,21,4,4,1,2018,2,1
88,82.45,1,3,30,4,5,2,2018,2,1
20,85.5,0,9,21,3,1,0,2018,2,1
125,99.9,0,7,29,4,1,0,2018,1,1
73,85.67,0,11,24,3,3,0,2017,2,1
118,110.0,0,6,6,3,2,1,2018,1,1
83,75.0,0,12,18,3,1,2,2018,2,1
68,79.56,0,4,24,3,2,2,2018,1,0
144,112.0,0,7,3,3,2,2,2018,2,1
184,65.29,1,10,17,4,6,2,2017,2,1
48,131.4,0,4,1,4,3,2,2018,2,0
4,121.0,0,5,31,2,2,0,2018,1,1
45,96.3,0,9,18,3,2,2,2018,2,1
42,152.1,1,8,16,4,2,0,2018,2,1
118,110.0,0,6,6,3,3,1,2018,1,1
92,90.0,0,11,11,3,1,0,2018,2,1
21,117.0,1,10,7,4,2,0,2017,2,1
0,62.8,0,12,24,3,3,2,2017,2,1
239,107.0,1,7,12,4,2,0,2018,2,0
0,106.0,0,12,28,4,0,1,2017,2,1
88,150.3,1,8,19,4,1,0,2018,3,1
1,95.0,0,9,20,0,1,0,2018,1,1
114,189.0,0,7,14,4,3,0,2018,3,0
31,76.23,1,12,19,4,1,0,2017,3,1
57,90.67,1,6,10,3,2,1,2018,2,1
48,130.0,0,9,14,3,2,0,2018,2,1
5,149.0,1,7,5,4,2,0,2018,2,1
259,73.95,1,12,7,4,4,0,2018,2,1
280,91.8,1,11,16,4,3,0,2018,2,0
58,94.5,1,10,9,4,2,0,2017,2,1
0,106.25,1,12,27,4,1,0,2018,2,1
7,67.0,1,7,11,2,1,1,2018,1,1
22,154.0,1,11,17,4,3,0,2018,3,0
85,85.0,1,10,6,3,3,1,2018,2,1
16,125.0,2,11,19,4,1,0,2018,2,1
147,123.3,1,8,14,4,1,2,2018,2,1
189,96.3,4,10,28,4,2,1,2018,2,1
7,251.5,0,9,25,4,5,3,2018,2,0
14,87.0,0,2,24,3,3,0,2018,2,1
173,65.49,1,7,11,4,3,1,2018,1,1
6,86.5,0,12,18,4,1,0,2017,2,1
192,95.0,0,6,24,3,2,0,2018,1,1
289,67.0,0,10,17,3,1,0,2017,2,1
118,107.25,2,12,11,4,2,1,2017,3,1
160,97.56,1,7,18,4,6,3,2018,2,1
33,63.58,0,3,16,3,4,1,2018,2,1
151,143.28,1,12,29,4,3,0,2018,2,0
76,69.33,0,4,12,4,3,0,2018,2,1
115,107.41,2,12,29,4,2,0,2018,2,1
53,119.1,1,4,25,4,2,1,2018,2,0
222,100.58,1,8,28,4,4,2,2018,2,0
209,100.8,0,8,19,4,2,0,2018,2,0
33,125.1,2,5,24,4,2,0,2018,2,1
37,95.0,0,10,13,3,3,0,2018,1,1
54,90.1,1,11,11,4,2,2,2018,2,1
6,78.2,0,11,4,3,4,1,2017,2,1
112,100.0,0,6,2,3,2,0,2018,2,1
263,110.0,0,10,21,3,2,0,2018,2,0
180,112.2,0,8,3,4,5,2,2018,2,0
0,95.0,0,1,2,4,1,0,2018,2,1
141,119.85,2,6,15,4,4,0,2018,2,1
26,120.0,0,6,8,3,1,0,2018,2,1
2,81.6,0,12,17,4,2,2,2018,2,1
279,110.0,0,10,12,3,3,0,2018,2,0
301,109.0,0,7,30,3,1,1,2018,2,0
118,109.86,0,6,20,4,3,1,2018,2,0
39,101.5,0,8,14,3,2,0,2017,2,1
141,163.8,1,9,23,4,2,0,2018,3,1
124,143.1,0,9,20,4,5,1,2018,2,0
35,74.8,2,11,29,4,11,4,2018,2,0
58,90.0,0,1,27,3,3,0,2018,1,1
95,132.3,0,10,20,4,3,0,2018,2,0
266,80.75,0,10,7,3,3,2,2018,2,1
41,130.9,2,12,2,4,2,2,2018,3,1
160,94.5,0,7,25,4,2,1,2018,2,0
207,99.45,0,8,7,4,2,2,2018,2,0
61,63.58,0,3,19,3,2,2,2018,2,1
1,106.4,0,7,6,3,1,0,2018,1,1
15,133.2,0,4,6,4,4,1,2018,1,0
57,85.5,3,10,28,4,2,0,2017,1,1
15,107.99,1,11,5,4,4,2,2018,1,1
39,101.5,0,8,14,3,2,0,2017,2,1
165,99.45,2,7,21,4,3,2,2018,2,1
17,151.0,1,6,30,4,3,0,2018,2,0
7,131.0,2,4,23,4,1,1,2018,2,1
377,115.0,1,10,14,3,2,0,2018,2,0
21,139.0,1,7,5,4,5,0,2018,2,1
149,122.04,0,7,5,4,5,2,2018,2,1
3,46.54,0,8,31,3,3,1,2017,2,1
31,74.8,0,11,17,4,3,1,2018,2,0
118,110.8,2,12,28,4,4,1,2017,2,1
269,70.0,0,12,29,3,3,2,2018,1,1
6,70.0,1,12,27,3,5,1,2018,2,1
28,116.56,2,9,19,4,3,2,2017,2,1
44,87.2,0,12,3,3,2,2,2018,2,1
89,127.8,1,7,14,4,2,0,2018,2,0
301,115.0,1,7,30,3,1,1,2018,2,0
72,67.22,1,3,31,4,3,0,2018,2,1
166,80.75,0,7,5,4,5,0,2018,2,0
8,103.0,2,11,21,4,0,1,2018,1,1
0,102.0,1,8,1,4,0,1,2018,2,1
18,75.0,3,11,8,2,1,0,2018,2,1
31,75.0,0,9,16,3,2,1,2018,2,1
2,65.0,0,8,7,2,1,2,2018,1,1
12,111.35,0,5,31,4,3,0,2018,2,0
210,105.4,0,10,21,3,2,2,2018,3,0
22,62.0,0,11,17,2,1,0,2017,1,1
63,126.0,1,4,2,4,1,1,2018,3,1
29,98.98,2,10,13,4,4,0,2017,2,1
322,52.0,0,12,9,3,2,0,2018,2,1
320,90.0,0,8,18,3,2,0,2018,1,1
108,72.25,0,7,10,3,2,2,2018,2,1
50,76.92,1,6,22,4,1,0,2018,2,1
102,101.5,0,10,16,3,2,0,2017,2,0
66,127.38,1,8,4,4,1,0,2018,2,1
62,69.5,1,3,4,4,2,1,2018,2,1
92,90.95,0,4,25,4,3,1,2018,2,0
35,104.85,1,10,17,4,1,1,2017,2,1
25,85.0,0,7,23,3,3,2,2018,2,1
88,90.0,1,10,7,2,2,0,2018,2,1
51,79.2,0,11,12,4,1,1,2018,2,0
21,139.0,1,7,5,4,5,0,2018,2,1
160,70.67,0,12,30,3,3,0,2017,2,1
9,141.0,3,6,17,4,2,1,2018,2,1
93,115.0,0,10,15,3,1,2,2018,1,0
8,97.02,0,10,20,4,4,0,2017,2,1
157,108.66,0,8,31,4,3,0,2018,2,0
86,90.23,0,10,31,4,3,1,2018,2,0
55,139.5,2,10,13,4,3,2,2018,2,1
97,76.5,2,7,8,4,4,1,2017,2,0
166,110.0,0,11,1,4,3,0,2018,1,0
221,73.0,0,8,12,3,1,0,2018,1,1
163,100.8,0,10,5,3,3,0,2018,1,0
124,94.5,0,8,8,3,1,2,2017,2,1
35,199.0,2,11,7,4,3,1,2018,1,1
120,104.4,0,10,31,4,0,1,2018,2,1
40,134.1,2,7,19,4,2,0,2018,2,1
193,120.0,0,6,20,3,2,1,2018,2,0
25,109.0,1,5,30,4,1,1,2018,2,1
100,108.0,0,10,16,3,1,0,2017,2,0
64,126.0,1,11,18,4,2,1,2018,3,1
2,0.0,0,10,9,4,2,2,2017,1,1
45,95.1,1,6,26,4,1,2,2018,2,1
126,126.0,0,8,15,4,4,1,2018,2,1
231,78.3,2,12,2,4,2,1,2018,2,0
51,158.4,1,8,23,4,2,0,2018,2,1
37,94.18,2,11,25,4,4,1,2017,2,1
150,107.57,1,8,10,4,4,0,2018,3,1
166,110.0,0,11,1,3,3,0,2018,1,0
221,115.5,2,9,29,4,3,0,2018,1,0
273,109.0,0,7,17,4,2,0,2017,2,0
265,115.0,1,6,24,3,2,0,2018,2,0
79,143.1,0,7,9,4,3,2,2018,3,1
196,99.45,1,8,1,4,5,2,2018,2,1
259,90.0,0,5,5,4,3,0,2018,2,0
210,86.0,0,10,8,3,3,1,2017,2,0
296,117.0,1,9,21,3,4,0,2018,2,0
182,96.3,2,7,28,4,1,0,2018,2,0
36,116.1,1,6,16,4,1,0,2018,2,1
10,110.0,0,5,29,2,5,3,2018,1,1
11,140.0,1,11,5,4,1,0,2018,2,0
101,68.0,0,7,9,3,2,2,2018,2,0
22,62.0,0,11,17,2,1,0,2017,1,1
74,137.7,3,7,13,4,4,0,2018,3,1
30,65.0,0,9,6,2,1,2,2017,1,1
103,115.0,0,4,19,3,2,0,2018,1,0
73,76.5,1,4,3,4,1,2,2018,2,1
26,74.8,0,12,22,4,3,1,2018,1,0
12,75.2,0,12,14,4,1,0,2018,1,1
92,70.0,0,10,7,3,4,0,2017,2,1
31,80.0,2,7,22,3,2,1,2018,1,1
131,164.25,0,7,25,4,1,1,2018,1,0
13,152.67,0,6,2,4,3,0,2018,2,0
37,95.0,0,10,13,3,3,0,2018,1,1
5,109.0,0,7,29,4,1,0,2018,2,1
2,95.0,0,4,21,3,3,0,2018,2,1
60,121.98,0,12,2,4,2,2,2018,3,0
26,101.0,0,6,23,4,1,0,2018,2,0
163,76.5,2,8,19,4,4,2,2017,2,1
161,130.0,0,3,25,3,2,1,2018,2,0
37,95.0,0,10,13,3,3,0,2018,1,1
204,141.3,0,10,7,4,2,0,2018,3,0
55,104.0,0,4,6,3,1,0,2018,2,1
37,78.5,1,2,14,4,0,2,2018,2,1
52,72.76,2,9,7,4,1,1,2017,2,1
4,133.33,1,10,27,4,3,0,2018,2,0
5,109.0,1,8,1,4,1,1,2018,1,0
57,90.67,1,6,10,3,2,1,2018,2,1
163,100.0,0,6,5,3,2,2,2018,1,0
15,89.0,1,6,14,4,1,0,2018,1,1
239,90.6,0,6,15,3,2,0,2018,1,0
6,169.93,1,9,12,4,1,1,2018,3,1
147,72.25,0,7,25,3,5,2,2018,2,1
12,104.0,0,12,4,4,0,2,2018,2,1
7,65.0,0,8,19,2,2,0,2017,2,1
185,89.25,0,8,13,4,5,2,2018,2,0
124,74.8,0,12,4,4,4,2,2018,2,0
28,110.0,2,10,28,4,2,0,2018,2,1
141,111.15,1,6,5,4,0,2,2018,1,1
12,150.5,1,8,16,4,2,0,2018,1,1
192,95.0,0,6,24,3,2,0,2018,1,1
1,65.0,0,12,3,2,1,0,2017,1,1
56,125.1,1,7,27,4,1,0,2018,2,1
61,73.0,0,10,4,3,0,2,2017,1,1
265,115.0,1,6,24,3,2,0,2018,2,0
85,96.3,0,4,15,4,2,1,2018,2,0
136,118.8,0,10,5,4,4,0,2018,2,0
377,115.0,1,10,14,3,2,0,2018,2,0
9,65.0,0,11,22,2,1,2,2017,1,1
14,110.0,1,10,15,3,2,0,2017,1,1
63,91.63,2,11,9,4,4,1,2017,2,0
47,94.5,2,10,20,4,2,0,2017,2,1
18,73.95,0,1,12,4,2,0,2018,2,1
46,124.71,0,11,7,4,5,1,2018,1,1
0,165.0,1,8,17,4,2,0,2018,2,1
40,201.95,0,3,25,4,2,1,2018,3,0
177,82.96,0,7,27,4,2,0,2018,2,0
115,76.0,0,2,27,3,3,2,2018,1,1
11,87.0,0,2,19,3,2,1,2018,2,1
37,111.6,1,6,29,3,1,0,2018,3,1
285,100.0,0,10,3,3,3,1,2018,2,0
12,130.0,0,10,20,2,2,0,2017,1,1
74,109.0,0,9,18,3,2,0,2017,2,1
36,100.95,1,10,9,4,1,2,2018,2,1
79,95.2,1,4,4,4,3,1,2018,2,1
10,78.5,2,1,17,4,5,2,2018,2,1
17,100.38,0,12,8,4,3,1,2018,2,1
9,65.0,0,12,10,2,1,0,2017,1,1
101,103.6,0,4,11,4,2,1,2018,2,1
28,57.0,0,2,26,3,2,1,2018,2,1
103,94.5,0,7,18,3,1,2,2017,2,1
188,130.0,0,6,15,3,2,0,2018,1,0
68,86.4,0,11,25,4,2,0,2018,1,1
82,185.03,2,7,2,4,1,0,2018,3,1
137,90.0,1,12,9,4,2,1,2018,2,1
63,63.75,1,3,10,4,3,1,2018,2,1
279,110.0,0,10,12,3,3,0,2018,2,0
3,131.0,1,4,27,4,2,0,2018,2,1
0,0.0,0,4,21,1,1,0,2018,1,1
245,75.0,0,6,17,3,2,0,2018,2,0
153,115.2,1,6,4,4,1,2,2018,2,0
14,113.14,3,9,5,4,5,2,2017,2,1
8,135.0,1,10,20,4,2,0,2017,2,1
34,119.5,1,6,12,4,1,2,2018,2,1
7,152.0,1,9,14,4,2,1,2017,2,1
70,75.95,0,3,3,4,3,2,2018,2,1
38,126.9,1,5,23,4,2,1,2018,2,0
71,120.0,0,6,14,3,3,0,2018,1,1
52,145.24,0,10,23,4,3,2,2018,2,0
20,68.85,1,11,11,4,5,2,2017,1,1
301,52.0,0,11,18,4,2,0,2018,2,0
97,89.25,0,9,3,4,3,0,2017,2,1
129,132.88,0,7,26,4,5,1,2018,3,0
37,85.5,0,9,25,3,0,1,2018,2,1
69,120.0,0,6,12,3,4,2,2018,1,0
92,101.52,0,5,30,3,2,1,2018,2,1
4,112.2,2,12,27,4,4,0,2018,1,1
85,119.7,0,8,3,4,3,0,2018,2,0
3,95.0,0,11,21,4,0,1,2018,2,0
9,166.0,0,7,14,4,2,0,2018,2,1
39,118.0,0,10,3,4,2,1,2018,2,1
102,87.0,0,10,16,3,2,0,2017,1,1
296,158.4,0,7,24,4,5,2,2018,2,0
27,104.0,2,12,7,4,3,0,2018,2,1
154,151.2,2,10,17,4,3,1,2018,3,0
124,118.8,1,7,16,4,1,2,2018,2,0
71,120.0,0,6,14,3,3,0,2018,1,1
188,130.0,0,6,15,4,2,0,2018,1,0
6,65.0,0,8,12,2,1,0,2017,1,1
180,137.7,0,8,23,4,2,0,2018,3,0
132,153.0,2,11,25,4,2,0,2018,2,1
64,116.1,2,4,29,4,2,1,2018,2,1
221,73.0,0,8,12,3,1,0,2018,1,1
79,60.0,0,12,11,3,2,1,2017,2,1
100,106.03,1,7,12,4,3,0,2018,2,1
5,126.75,0,4,4,4,5,3,2018,2,0
71,120.0,0,6,14,3,3,0,2018,1,1
32,0.0,1,11,15,4,0,0,2018,1,1
110,168.3,0,9,23,4,2,0,2018,3,0
148,116.1,0,6,17,4,2,0,2018,2,0
14,94.35,0,5,30,4,0,1,2018,2,0
8,125.0,0,5,1,4,0,1,2018,1,0
28,135.0,1,5,19,4,1,0,2018,1,1
179,113.4,0,9,30,4,2,2,2018,2,0
292,90.0,0,7,21,3,2,0,2018,1,1
80,86.47,2,11,6,4,2,0,2017,2,1
1,86.0,0,9,25,3,3,2,2017,1,1
41,112.0,1,11,2,3,4,1,2018,2,1
36,97.2,0,10,3,4,1,1,2018,2,0
115,76.0,0,2,27,3,2,2,2018,1,1
250,95.0,0,9,26,4,3,1,2018,2,0
322,80.0,0,5,19,3,3,1,2018,2,0
139,99.45,2,5,5,4,3,1,2018,2,1
9,82.92,0,3,30,4,1,0,2018,1,1
123,126.3,1,5,6,4,2,0,2018,1,1
273,95.0,0,5,13,4,2,1,2018,2,0
65,149.4,1,9,9,4,2,0,2018,2,1
200,82.92,3,10,31,4,2,1,2018,2,1
22,94.86,1,9,26,4,3,1,2018,2,1
28,82.65,0,10,15,4,3,0,2017,1,1
81,117.9,3,8,14,4,2,2,2018,2,1
99,80.0,0,2,19,2,1,0,2018,1,1
144,105.4,1,4,22,3,2,1,2018,3,0
58,81.0,0,1,27,3,2,0,2018,1,1
168,85.0,0,4,22,3,2,1,2018,2,0
20,102.0,1,11,1,4,4,0,2018,2,0
2,106.5,1,12,18,4,0,2,2018,2,1
125,90.67,2,7,2,4,4,2,2018,2,1
125,68.0,1,12,27,3,3,0,2018,2,1
87,89.25,2,9,15,4,3,0,2017,2,1
91,126.0,2,7,20,4,2,0,2018,2,1
0,126.0,0,10,12,4,1,1,2017,2,1
77,132.3,3,10,7,4,2,1,2018,2,1
3,120.0,1,10,16,4,0,1,2018,1,1
178,106.0,0,8,22,2,3,1,2018,1,0
58,128.1,1,9,4,4,4,2,2018,2,0
29,84.67,0,12,30,3,4,2,2017,2,1
1,120.0,1,6,2,4,3,0,2018,2,1
